d,w,n1,R,Fy_N,G_N,Fy_over_G
5.62408212682377,34.2648195440154,2.88576425096394,29.6488853519928,98.1123857788228,2.66292873011131,36.8437895725139
12.4863297996928,13.5471584656804,1.45783734076428,24.8537564872284,40.9523086446031,1.46416025934644,27.9698266519562
15.7999752568454,33.9873106598226,2.08186044465062,29.1573552518907,150.701268891121,5.24266576286856,28.7451605170922
9.24714346947254,33.3498311939388,2.14318665800568,20.3571167857419,75.102389215252,2.30466824382734,32.5870716604878
13.8329402112141,19.8056754883542,2.08115953310354,27.5774013057833,76.0681744605107,2.62092009051961,29.0234619268494
9.15097952864113,10.7958211594355,1.07155360089069,21.7118668781156,22.589570926938,0.807568955422798,27.9723121787308
3.72476956279233,30.5864457081823,2.1861079374765,20.4617139063115,41.2955152402314,1.16705141505023,35.3844866710127
12.6647035181586,10.8611520125727,1.50313120720361,23.1709948006086,26.6890724007508,1.07243477092683,24.8864295752789
11.2795115626923,29.8799975284266,0.831389236346528,23.8155845709301,92.4636558265061,2.87076299815288,32.2087388913677
8.30142596860377,26.1578252527816,2.22487600389848,24.8976439578823,79.6689108498918,2.18548977389712,36.4535729251333
7.01530003402988,26.9925669213419,2.08014637659823,27.5468668198236,82.4876894544925,2.26353253954014,36.4420161908742
4.02648796573209,22.4591012995536,2.89263713736239,21.6261173519463,36.3177178656311,0.96238765708174,37.7370985573087
9.08904214397349,15.5952984872784,2.33662924716818,23.4038572666613,41.746974673273,1.28027122530167,32.6079145170478
7.83237108677551,27.4769180664171,2.70903897451297,22.5509511545927,70.4146585950967,1.95210055095842,36.0712252043193
12.0799003660819,13.465611070717,0.731167112826006,29.5929142520544,46.2696598589446,1.79868244895664,25.7241960001245
11.0499371198862,16.3570544742883,2.50469763112553,22.5750825412374,43.7655678542053,1.44359145768379,30.3171424444602
11.76783431005,18.7495941496202,0.857319532900032,22.4352496872499,51.9337931278166,1.6997622133971,30.5535637387909
8.8591014727514,21.8322212225682,1.27087590533701,22.5108385797603,58.7806795690363,1.67706345876716,35.0497646715451
11.9593902561629,23.7430902072785,2.7791555014341,28.3082862789629,94.4257046258241,2.97493906581231,31.7403827563913
3.96169709849889,11.3487529666652,1.74863707387493,25.6782164072522,17.5121614758474,0.583481833179714,30.0132077470417
16.8155799667697,13.2476552118433,1.85005270354614,27.7916723010201,46.7446665779803,1.97033628455313,23.7242073571121
3.13918168683976,18.428066109972,0.765540215951378,24.6939064105821,20.1653122175515,0.772769875639182,26.0948477072455
7.65043826155844,23.2133283876553,0.774785161575916,27.9428454068391,68.1653009682441,2.10660603033653,32.3578780211479
6.42383863578459,26.3519774619196,2.1711350798744,26.0198194140164,72.6537702233635,1.94046681793767,37.4413875835197
9.52452533504732,12.0955344499233,0.943681575567756,27.4815159282371,34.6148511159049,1.25436888907043,27.5954317884564
5.45837151074658,30.6454244372387,1.76875927483857,29.1333736150167,80.465779178025,2.28435078435119,35.2247911000583
4.32596228308938,21.0669567443862,0.617442938071619,29.9613471662689,35.0747847507724,1.36815475506945,25.6365623996914
3.07701608194659,29.3727616177876,2.51274768948271,29.6189808085505,47.0324979532501,1.48129279020527,31.7509801331934
4.32454063795856,19.9945662274724,1.02607436440269,28.6869470536351,37.0240421253268,1.23729528744375,29.9233679308828
9.47150284510991,32.7661898607381,0.817986024483708,28.0006848022431,113.694195216564,3.46438514100006,32.8180010562405
4.40270893762427,13.4017139677166,2.65140231777612,22.6380291652199,22.3893241939841,0.643499389253645,34.7930776126331
